videoId,start (M:S),end (M:S),duration_sec,tempo_bpm,mfcc_mean,tonnetz_mean,silence_ratio
C0KLb_v50-k,0:51,0:54,3.0,144.23,"[-392.5467529296875, 149.8303985595703, 13.642572402954102, 1.7507593631744385, 33.73012161254883, -8.798379898071289, 17.075397491455078, -4.095459461212158, 4.6253485679626465, 0.5624549388885498, 4.0992631912231445, -11.173925399780273, 3.037578582763672]","[-0.00015137107324062713, -0.10677315811018842, -0.0004377323219335009, -0.19061998126128465, 0.0001524512798679487, 0.06993297632695981]",0.3144
C0KLb_v50-k,0:59,1:02,3.0,92.21,"[-434.645751953125, 160.57958984375, 25.68704605102539, 0.8276666402816772, 37.663352966308594, 1.1587181091308594, 19.461463928222656, -4.736263751983643, 7.082319259643555, 0.08493253588676453, 6.68458366394043, -9.133356094360352, 3.288370370864868]","[-0.03183049898792103, -0.004592644223627001, -0.06657893038776663, -0.00649273934977626, -0.025908753534273722, 0.014818938867954901]",0.27
C0KLb_v50-k,1:53,1:58,5.0,125.0,"[-392.6625061035156, 162.1981658935547, 3.1475281715393066, -3.3034541606903076, 36.70474624633789, -7.673670291900635, 18.629356384277344, -3.260110378265381, 5.856848239898682, -1.2267976999282837, 3.2622461318969727, -8.391486167907715, 4.2509894371032715]","[-0.015526050365532286, -0.013180331892790453, 0.056474864776275835, -0.06628638160859816, -0.008471487518797368, -0.0241337622436923]",0.4531
C0KLb_v50-k,2:09,2:31,22.0,125.0,"[-447.0464782714844, 120.41390991210938, 16.619775772094727, 5.340060710906982, 32.61578369140625, -0.2094268649816513, 12.482605934143066, -3.503706693649292, 6.45656681060791, 1.4297086000442505, 3.659177541732788, -5.122374057769775, 3.4595837593078613]","[-0.01955836913460701, -0.009224673910555738, -0.004182552824553594, -0.007709321914720727, -0.001561608152991757, -0.007309575320464242]",0.5766
ZNnk9L2LSZI,1:40,2:10,30.0,119.68,"[-478.7926025390625, 143.4458465576172, 12.269190788269043, -0.6594816446304321, 19.42612648010254, -20.11858558654785, 18.23023223876953, 17.046045303344727, 22.161619186401367, -0.5734205842018127, 0.05869574099779129, 0.7913908362388611, 7.224184989929199]","[-0.011118099954538479, -0.0030111181596866763, -0.015679722532485636, -0.01928924745557267, 0.0016331712811779432, 0.0027637237806596316]",0.5942
ZNnk9L2LSZI,0:12,0:25,13.0,112.5,"[-499.7503967285156, 133.4490509033203, 22.474628448486328, 0.02492307312786579, 23.869266510009766, -8.66265869140625, 18.325475692749023, 17.93600082397461, 24.308168411254883, 0.9981826543807983, 4.781502723693848, -2.3041586875915527, 8.554386138916016]","[0.01688214371180802, 0.07525360571109525, -0.04005693719768939, 0.013055786934709159, -0.026309993404888245, 0.008124247170511831]",0.6587
ZNnk9L2LSZI,2:11,2:26,15.0,127.84,"[-475.2475891113281, 130.06336975097656, 16.08702850341797, -2.3707175254821777, 18.188987731933594, -7.622034072875977, 17.30517578125, 10.792032241821289, 17.311847686767578, -1.3073827028274536, 1.7074893712997437, -0.8009846806526184, 4.914351463317871]","[0.02498524622800784, 0.08502394106644591, 0.014822190700292745, 0.045487815962651994, -0.00334769813354184, 0.02281061106429654]",0.722
-kfUE41-JFw,1:36,1:43,7.0,108.17,"[-227.7704620361328, 138.87887573242188, -10.224625587463379, 2.3963429927825928, 57.658470153808594, -38.61082077026367, 40.49968338012695, -5.16119909286499, 15.700858116149902, 2.9704744815826416, 16.387849807739258, 0.0846187099814415, 7.631346702575684]","[-0.013324132701439059, 0.016852874514440234, -0.0028018716184367116, 0.0451802880675597, -0.002600492048012179, 0.002600108955061882]",0.0
-kfUE41-JFw,1:44,1:55,11.0,148.03,"[-221.9637908935547, 142.8162841796875, 5.343277454376221, 5.68767786026001, 48.03547668457031, -36.25227355957031, 41.570072174072266, -6.193240165710449, 14.163216590881348, 3.0808327198028564, 14.166410446166992, 5.7849040031433105, 8.729782104492188]","[-0.017718768598394215, 0.011683327695963962, -0.008152776022391851, 0.04191060224660833, -0.002071587652753445, 0.009234768276146204]",0.0
-kfUE41-JFw,2:10,2:20,10.0,95.34,"[-302.65576171875, 140.50978088378906, 6.088751792907715, 10.976401329040527, 50.60469055175781, -10.019242286682129, 30.23894500732422, 4.902554512023926, 8.101798057556152, -0.32144400477409363, 13.368063926696777, -0.36585256457328796, 8.164885520935059]","[0.006083673073623487, 0.001515383321204501, -0.002336459960898124, 0.04395173191438415, -0.015108199257594013, 0.01093391904133067]",0.1551
